header,poolingSize,filterSize,numFilter,denseNode,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11
13,2,5,32 32,128,0.9192,0.9722,0.9791,0.9819,0.9841,0.9857,0.9873,0.9882,0.9883,0.9893,0.9907,0.9911,0.9795,0.9855,0.9879,0.9880,0.9890,0.9907,0.9913,0.9907,0.9912,0.9909,0.9915,0.9922
14,2,5,32 32,256,0.9309,0.9752,0.9819,0.9852,0.9882,0.9895,0.9910,0.9918,0.9919,0.9923,0.9937,0.9937,0.9818,0.9871,0.9882,0.9888,0.9899,0.9909,0.9906,0.9910,0.9914,0.9911,0.9916,0.9910
15,2,5,32 32,512,0.9408,0.9806,0.9856,0.9888,0.9901,0.9915,0.9920,0.9937,0.9941,0.9944,0.9951,0.9950,0.9825,0.9877,0.9899,0.9889,0.9904,0.9908,0.9923,0.9924,0.9919,0.9922,0.9923,0.9909
16,2,5,32 64,128,0.9223,0.9728,0.9787,0.9831,0.9862,0.9872,0.9883,0.9896,0.9904,0.9916,0.9921,0.9929,0.9819,0.9869,0.9903,0.9892,0.9880,0.9906,0.9916,0.9917,0.9920,0.9919,0.9913,0.9917
17,2,5,32 64,256,0.9414,0.9800,0.9853,0.9884,0.9897,0.9909,0.9916,0.9926,0.9942,0.9939,0.9951,0.9952,0.9831,0.9879,0.9876,0.9905,0.9919,0.9925,0.9923,0.9929,0.9916,0.9927,0.9925,0.9915
18,2,5,32 64,512,0.9497,0.9826,0.9873,0.9901,0.9927,0.9926,0.9943,0.9951,0.9952,0.9956,0.9962,0.9961,0.9841,0.9894,0.9900,0.9895,0.9898,0.9923,0.9919,0.9905,0.9923,0.9915,0.9923,0.9931
19,2,5,32 64,128,0.9267,0.9744,0.9806,0.9843,0.9860,0.9875,0.9892,0.9895,0.9911,0.9915,0.9926,0.9925,0.9847,0.9876,0.9898,0.9904,0.9907,0.9914,0.9912,0.9915,0.9922,0.9924,0.9923,0.9923
20,2,5,32 64,256,0.9398,0.9799,0.9854,0.9880,0.9898,0.9916,0.9929,0.9935,0.9940,0.9944,0.9950,0.9950,0.9852,0.9875,0.9899,0.9904,0.9911,0.9916,0.9931,0.9919,0.9900,0.9922,0.9923,0.9915
21,2,5,32 64,512,0.9471,0.9823,0.9885,0.9903,0.9916,0.9931,0.9941,0.9950,0.9951,0.9956,0.9960,0.9961,0.9860,0.9880,0.9905,0.9897,0.9916,0.9921,0.9910,0.9909,0.9920,0.9919,0.9918,0.9917
22,2,5,64 64,128,0.9329,0.9757,0.9812,0.9845,0.9862,0.9877,0.9892,0.9909,0.9917,0.9920,0.9928,0.9932,0.9829,0.9859,0.9885,0.9893,0.9903,0.9907,0.9896,0.9918,0.9904,0.9920,0.9929,0.9917
23,2,5,64 64,256,0.9415,0.9814,0.9858,0.9882,0.9904,0.9915,0.9927,0.9932,0.9943,0.9941,0.9950,0.9957,0.9844,0.9893,0.9891,0.9902,0.9923,0.9906,0.9918,0.9919,0.9925,0.9927,0.9932,0.9927
24,2,5,64 64,512,0.9515,0.9839,0.9879,0.9906,0.9928,0.9933,0.9942,0.9950,0.9951,0.9958,0.9961,0.9967,0.9851,0.9895,0.9900,0.9892,0.9927,0.9915,0.9924,0.9901,0.9916,0.9904,0.9930,0.9942
25,2,7,32 32,128,0.9162,0.9716,0.9793,0.9819,0.9848,0.9860,0.9871,0.9884,0.9887,0.9896,0.9908,0.9917,0.9811,0.9865,0.9877,0.9897,0.9892,0.9897,0.9900,0.9902,0.9907,0.9921,0.9919,0.9919
